:START_ID,:END_ID
1612616,6869073
2271911,7420573
2408301,6233758
1626471,7863860
2185255,7704931
755853,8469107
2042871,7838391
2267451,6511126
2515682,8110331
134602,8262957
2554808,5960559
280491,8371466
1755998,7043422
1435137,8022752
2226796,8243310
2627615,8570044
2825819,8839136
2780882,8689901
1564775,8283523
908857,7747291
2806422,8577438
1945345,8469107
251782,6912751
2388080,5989038
281650,5989038
2341186,8284625
2428728,8577438
2629955,8484126
906568,8709343
2080459,7507989
548920,5998613
1230357,7741543
710775,7414809
765934,8469107
1999046,8120626
1202856,7427095
2546508,8284625
1827850,8365890
1164669,7191481
1085698,7449621
2703559,7704931
1955504,1849235
1329045,6602818
1918613,7098801
42635,6674954
1621927,5970272
429443,8060599
235908,8183144
1954933,6333200
746999,5999115
1255257,7435122
220851,5970272
2167325,1896869
925959,7750573
398613,7427856
1453837,8365890
140170,8689901
2558935,7704931
542185,7256505
452944,7705293
917357,6871812
2617280,7250218
1908616,6030339
2588371,6511126
512945,8262957
472858,6821342
2609072,7747291
1177816,8283523
113732,8060599
2219633,7704931
1623533,8189885
1006035,7705293
2832566,7723673
1160452,6912751
1216926,8757144
2052857,8371466
1828793,8371466
2745588,8828726
1644191,8466763
1522092,8110331
1607900,6233758
1162117,8073223
2287458,8466763
1943016,8469107
906140,7705293
582339,8800869
2283952,6912751
989806,8770324
2152762,8447365
1757176,8535040
2503873,7705293
538810,7741543
654594,7433625
1144411,8709343
281192,6206071
1393610,8043600
517995,7747451
2752276,6863236
2018397,8280556
83223,7076556
1967080,8100830
1945822,8106148
632817,1709128
824064,7507989
1392173,7974716
2014845,6382726
1169810,7741543
2565445,6511126
2130423,8060599
2551018,8853754
1004927,8821915
2262965,6821342
1991961,7256505
2058071,8535040
2471281,8300855
2163582,8308729
1708221,8821915
2655679,5998613
2286631,7411051
71539,7076556
1516552,7098801
2203478,1709128
242910,8043600
1524876,7359764
1710374,5998613
1212734,6769849
1029799,8828726
1788541,8466763
1541902,6413276
