:ID,author:string
8973974,Hadas Shachnai
8973978,Robert J. Mullen
8973979,Paolo Remagnino
8973983,Dorothy Ndedi Monekosso
8974000,Hartmut Schmeck
8974026,Phivos Mylonas
8974027,Yannis Avrithis
8974053,Rastislav Lukac
8974055,Erich J. Neuhold
8974078,Massimiliano Albanese
8974080,Marat Fayzullin
8974081,Antonio Picariello
8974082,V. S. Subrahmanian
8974083,Vasileios Mezaris
8974094,José Luis Martínez 0001
8974106,Wenjun Zeng
8974108,Ioannis Kompatsiaris
8974124,Jérôme Gensel
8974125,Hervé Martin
8974132,Timothy K. Shih
8974137,Zhihai He
8974141,Qian Zhang 0001
8974146,Shalini Gupta
8974171,Chang Wen Chen
8974207,Sven Verdoolaege
8974210,Wonyong Sung
8974214,Marc Geilen
8974215,Twan Basten
8974224,Mikko Valkama
8974237,Oscar Gustafsson
8974243,Liang-Gee Chen
8974250,Yu Hen Hu
8974251,Sun-Yuan Kung
8974263,John McAllister
8974265,Mihaela van der Schaar
8974266,Keshab K. Parhi
8974277,Ashok Kumar Turuk
8974309,Jan Mendling
8974313,Avigdor Gal
8974348,Peng Jiang
8974350,Willy Susilo
8974356,Elena Demidova
8974375,Angela Bonifati
8974378,Hua Wang 0002
8974396,Haoyuan Li
8974404,Antonio Berlanga
8974420,Armin Otto Schmitt
8974424,Paolo Boldi
8974431,Yifan Hu
8974436,Sebastiano Vigna
8974437,Matthias Weidlich
8974438,Nikos Mamoulis
8974518,Gonzalo Navarro
8974530,Siti Mariyam Shamsuddin
8974570,Yonggang Wen 0001
8974574,Jinjun Chen
8974609,Yuichi Yoshida
8974613,Dimitrios Karapiperis
8974614,Vassilios S. Verykios
8974622,Paolo Rosso
8974633,Margaret Hamilton 0001
8974672,Yongrui Qin
8974673,Quan Z. Sheng
8974693,Horst Bunke
8974710,Ching Y. Suen
8974713,Faisal Shafait
8974717,Tong Lu
8974723,Jean-Marc Ogier
8974731,Chew Lim Tan
8974740,Kristian Kersting
8974768,Yee Whye Teh
8974781,Pieter Abbeel
8974784,Tamás Horváth 0001
8974793,Mauro Birattari
8974799,Shie Mannor
8974804,Xinhua Zhang
8974814,Samuel Kaski
8974825,Pierre Flener
8974837,Jürgen Schmidhuber
8974843,Wulfram Gerstner
8974858,Luc De Raedt
8974875,Paul W. Munro
8974877,Bing Liu 0001
8974881,David H. Wolpert
8974894,J. Andrew Bagnell
8974897,Julia Handl
8974911,Marcus Hutter
8974923,Russ Tedrake
8974946,Zhi-Hua Zhou
8974966,Martti Hallikainen
8974978,Hans-Peter Kriegel
8974994,Matt Duckham
8974995,Liping Di
8975018,Shuhui Wang
8975019,Qiang Qu
8975051,Beng Chin Ooi
8975054,Naren Ramakrishnan
8975055,Chris Bailey-Kellogg
8975071,Phaedon C. Kyriakidis
8975198,Michael F. Goodchild
8975230,George Teodoro
8975266,Suzana Dragicevic
8975273,Mahta Moghaddam
8975285,Markus Neteler
8975289,Sergio J. Rey
8975330,Wei Hu
8975332,Aijun Chen
8975370,Craig A. Knoblock
8975442,Xiaolin Li
8975444,Yue Sun
8975460,Matthias Renz
8975461,Qi Liu
8975471,Abdeltawab M. Hendawi
8975522,Ralph Ferraro
8975524,H. V. Jagadish
8975666,Michael E. Gorman
8975670,Svitlana Zinger
8975674,Peter H. N. de With
8975690,Yali Zheng
8975711,Georgios Mantas
8975746,Feng Liu
8975880,William H. Winsborough
8975893,Peng Liu 0005
8975899,Il-Chul Moon
8975917,Marcello La Rosa
8975918,Arthur H. M. ter Hofstede
8975927,Philipp Martin Fischer
8975948,Mary Webb
8975972,Yaacov J. Katz
8976080,Therese Keane
8976194,Hao Wang
8976199,Barry Smyth
8976204,Masashi Sugiyama
8976205,Gleb Beliakov
8976210,Paolo Cremonesi
8976237,Christian Desrosiers
8976251,Hendrik Drachsler
8976256,Robin D. Burke
8976263,Gerhard Friedrich
8976265,Pavan K. Turaga
8976279,Kazuo Murota
8976281,Stephen Lin
8976291,Ruzena Bajcsy
8976298,Xiaogang Wang
8976303,Silvio Savarese
8976334,Guillermo Sapiro
8976360,Tien-Tsin Wong
8976361,Tomaso A. Poggio
8976364,Marshall F. Tappen
8976367,Ralph R. Martin
8976372,Richard Szeliski
8976387,Matti Pietikäinen
8976398,Avinash C. Kak
8976400,J. K. Aggarwal
8976402,Jürgen Beyerer
8976408,Manmohan Chandraker
8976448,Manish Singh 0001
8976450,Richard G. Baraniuk
8976455,Davide Scaramuzza 0001
8976475,Mark Levene
8976507,Mats Edenius
8976550,Yuan Gao
8976567,Prashant Palvia
8976630,Robert Laurini
8976660,Giancarlo Fortino
8976678,Clare Dixon
8976706,Vladimir Lifschitz
8976713,Michael Fisher 0001
8976738,Miroslaw Truszczynski
8976765,David A. Cohen
8976766,Peter Jeavons 0001
8976775,Donatella Sciuto
8976776,Giovanni Beltrame
8976806,Muhammad Shafique 0001
8976814,Todor P. Stefanov
8976824,Chun Jason Xue
8976837,Franco Fummi
8976884,Paolo Dario
8976894,Domenico Prattichizzo
8976895,Jeffrey C. Trinkle
8976896,Stefano Chiaverini
8976906,Wolfram Burgard
8976907,Martial Hebert
8976919,Roland Siegwart
8976922,Marc Toussaint
8976927,J. Norberto Pires
8976932,Kostas Daniilidis
8976939,Gregory D. Hager
8976961,Raja Chatila 0001
8976977,Sylvain Calinon
8976980,Blake Hannaford
8976988,Nikolaos Papanikolopoulos
8976998,Ümit Özgüner
8977007,Scott Kuindersma
8977015,Eugenio Guglielmelli
8977016,Gianmarco Veruggio
8977094,Kensuke Harada
8977097,Kazuhito Yokoi
8977128,Vedat Verter
8977138,Carlile Lavor
8977139,Leo Liberti
8977140,Nelson Maculan
8977149,Lorenz T. Biegler
8977181,Pierre Hansen
8977198,Ladislav J. Kohout
8977216,William T. Ziemba
8977235,Claude Brezinski
8977243,Ernesto G. Birgin
8977279,Wenbin Liu
8977318,Marcello Pelillo
8977329,Margaret L. Brandeau
8977341,Celso C. Ribeiro
8977349,J. MacGregor Smith
8977359,Martin W. P. Savelsbergh
8977397,Jean-Yves Potvin
8977421,Luís Nunes Vicente
8977438,Dimitri P. Bertsekas
8977453,Mustafa Ç. Pinar
8977477,Liqun Qi 0001
8977478,Defeng Sun
8977479,David L. Olson
8977494,Gang Bao
8977497,Layne T. Watson
8977515,Gregory Z. Gutin
8977543,Patrice Marcotte
8977544,Gilles Savard
8977555,Åke Björck
8977571,Jitka Dupacová
8977576,Lieven Vandenberghe
8977579,Richard W. Eglese
8977636,Marc Teboulle
8977639,Giuseppe Persiano
8977650,Anders Forsgren
8977657,Harry B. Hunt III
8977660,Jieping Ye
8977679,Ji-Rong Wen
8977685,Christos Faloutsos
8977688,Philippe Smets
8977700,Zheng Zhao
8977714,David A. Bell
8977765,Amitava Mitra
8977775,Christine W. Chan
8977781,Sancho Salcedo-Sanz
8977803,Mohammed Al-Shalalfa
8977842,Weiguo Fan
8977864,Frank Klawonn
8977867,Rudolf Kruse
8977869,Carlotta Domeniconi
8977875,Michael K. Ng
8977885,José Luis Cabral de Moura Borges
8977890,Marko Robnik-Sikonja
8977920,Jun Zhang 0001
8977934,Yong Shi 0001
8977939,Dilip Kumar Pratihar
8977949,Tao Li
8977952,Hui Xiong 0001
8977977,Zheng-Hua Tan
8977987,Mike Thelwall
8978031,Rui Valadas
8978032,António Pacheco
8978044,Herwig Bruneel
8978046,Vicent Pla
8978058,Is-Haka Mkwawa
8978066,David Remondo
8978087,Nigel Thomas
8978133,Raul Sánchez-Reillo
8978154,Seungjin Choi
8978221,Christoph Busch 0001
8978225,Lior Wolf
8978234,Ioannis Patras
8978242,Wei-Yun Yau
8978243,Liang Wan
8978275,Mingquan Zhou
8978293,Amit K. Roy-Chowdhury
8978296,Mohamed Cheriet
8978303,Judith Liu-Jimenez
8978321,Song-Chun Zhu
8978356,Lu Gao
8978377,Zhong Jin
8978411,Battista Biggio
8978431,Virginia Vassilevska Williams
8978440,Ariel D. Procaccia
8978441,Moshe Tennenholtz
8978454,Yann Chevaleyre
8978478,Stefano Mariani 0001
8978569,Matteo Baldoni
8978570,Cristina Baroglio
8978654,Jian Yang
8978802,Yi Guo
8978821,Hamid Alinejad-Rokny
8978861,Giulia Russo
8978863,Marzio Pennisi
8978866,Francesco Pappalardo 0001
8978880,Ashwini Patil
8978896,William R. Pearson
8978952,Vishal Kumar Sarsani
8979048,Dimitrios S. Nikolopoulos
8979063,Luminita A. Vese
8979066,Li Chen
8979068,Zhigang Zeng
8979073,Zhu Li 0001
8979089,Kristina Lerman
8979092,Rubén Ruiz
8979099,Robert Birke
8979100,Lydia Y. Chen
8979117,Fevrier Valdez
8979160,Humberto Bustince
8979176,Asad Waqar Malik
8979189,José Antonio Lozano
8979212,Aris Gkoulalas-Divanis
8979216,Otmar Scherzer
8979227,Ming-Chen Hsu
8979265,Vincenzo Piuri
8979281,James A. Hendler
8979285,Carlos Gershenson
8979314,Hisao Ishibuchi
8979316,Yolanda Gil
8979348,Antonio José Fernández Leiva
8979357,Alessandro Sperduti
8979367,Daniel Cremers
8979387,Christoph Schnörr
8979413,Radko Mesiar
8979418,Kun Wang
8979430,Haym Hirsh
8979467,Gergely Biczók
8979477,Yongwei Wu
8979486,Clayton T. Morrison
8979499,Kalyanmoy Deb
8979501,Xiaodong Li 0001
8979547,Badong Chen
8979563,Philippe Salembier
8979584,Massimo Fornasier
8979590,Qi Xuan
8979602,Manuel Lozano 0001
8979626,Piero Fraternali
8979639,Yuxiong He
8979640,Athanasios V. Vasilakos
8979647,Lisa P. Nathan
8979697,Lars Ruthotto
8979716,Henri Prade
8979719,Stefano Ceri
8979769,Katrien Verbert
8979820,Simon Sohrt
8979824,Ludger Overmeyer
8979825,Tobias Krühn
8979868,Alexander Roßnagel
8979943,Volker Mehrmann
8979959,W. P. M. H. Heemels
8979974,John Lygeros
8979977,Nikolaos Bekiaris-Liberis
8979978,Miroslav Krstic
8979983,Richard M. Murray
8979986,Qinghua Zhang
8979994,Asuman E. Ozdaglar
8980009,Vijay Vittal
8980019,Mark L. Darby
8980020,Andrew R. Teel
8980082,João Pedro Hespanha
8980090,Jeff S. Shamma
8980096,Xi-Ren Cao
8980098,R. Srikant 0001
8980107,Dragan Nesic
8980109,Fabio Fagnani
8980119,Kyriakos G. Vamvoudakis
8980132,Tamer Basar
8980140,Girish N. Nair
8980141,Mihailo R. Jovanovic
8980161,Steven X. Ding
8980162,Tansu Alpcan
8980186,Shu Zhang
8980268,Robert R. Harmon
8980277,George J. Klir
8980308,Krishnamurty Muralidhar
8980356,Rahul Singh
8980388,Ulrich Rüde
8980391,Vitaly Feldman
8980393,Bruno Courcelle
8980399,Ryan Williams 0001
8980404,Amihood Amir
8980407,Shahin Kamali
8980408,Maurice Herlihy
8980409,Andrzej Pelc
8980413,Nicole Megow
8980421,George B. Mertzios
8980422,Henning Fernau
8980436,Leszek Gasieniec
8980438,Leif Kobbelt
8980450,Rocco A. Servedio
8980463,Paul G. Howard
8980476,Holger Petersen 0001
8980488,Ming Li
8980495,Lidong Wu
8980506,Fabrizio Frati
8980508,Maxime Crochemore
8980530,Xi Chen
8980539,Dana Ron
8980545,Edith Cohen
8980547,Angelika Steger
8980563,Siu-Ming Yiu
8980570,Jie Gao
8980576,Xi Chen 0001
8980583,Srinivasan Parthasarathy 0002
8980606,Rüdiger Reischuk
8980638,Jittat Fakcharoenphol
8980642,Alejandro López-Ortiz
8980645,Luca Trevisan
8980664,Jens Stoye
8980665,Martin Roetteler
8980684,István Miklós
8980686,Francesco Bergadano
8980687,Nader H. Bshouty
8980688,Eyal Kushilevitz
8980707,Eric Blais
8980710,Tak Wah Lam
8980727,Markus Bläser
8980728,Markus E. Nebel
8980732,Yoshio Okamoto
8980735,Wun-Tat Chan
8980763,Tao Jiang 0001
8980766,Louxin Zhang
8980769,Kurt Keutzer
8980774,Piotr Krysta
8980778,Vikram Sharma 0001
8980785,Fabio Pardi
8980798,Prudence W. H. Wong
8980804,Andreas Brandstädt
8980811,Avrim Blum
8980812,Minming Li
8980819,Mark Jones 0001
8980820,Wing-Kai Hon
8980832,Matias Korman
8980834,Marcel Roeloffzen
8980837,Ron Lavi
8980859,Boaz Patt-Shamir
8980865,David R. Wood
8980867,Prahladh Harsha
8980871,Michal Pilipczuk
8980885,Dong Xu 0002
8980890,Shinnosuke Seki
8980891,Adrian Dumitrescu
8980896,Kunihiko Sadakane
8980902,Edward A. Hirsch
8980916,Feng Wang
8980918,Luca Becchetti
8980920,Stephan Kreutzer
8980925,Christian Komusiewicz
8980928,Anders Yeo
8980931,Noga Alon
8980939,Stephane Durocher
8980973,Susan Stepney
